teamId,season,teamName,teamAbbreviation,conferenceAbbreviation,divisionName
14,2026,New Jersey Devils,NJD,E,Metropolitan
74,2026,New York Islanders,NYI,E,Metropolitan
134,2026,New York Rangers,NYR,E,Metropolitan
194,2026,Philadelphia Flyers,PHI,E,Metropolitan
254,2026,Pittsburgh Penguins,PIT,E,Metropolitan
314,2026,Boston Bruins,BOS,E,Atlantic
374,2026,Buffalo Sabres,BUF,E,Atlantic
434,2026,Montréal Canadiens,MTL,E,Atlantic
494,2026,Ottawa Senators,OTT,E,Atlantic
554,2026,Toronto Maple Leafs,TOR,E,Atlantic
674,2026,Carolina Hurricanes,CAR,E,Metropolitan
734,2026,Florida Panthers,FLA,E,Atlantic
794,2026,Tampa Bay Lightning,TBL,E,Atlantic
854,2026,Washington Capitals,WSH,E,Metropolitan
914,2026,Chicago Blackhawks,CHI,W,Central
974,2026,Detroit Red Wings,DET,E,Atlantic
1034,2026,Nashville Predators,NSH,W,Central
1094,2026,St. Louis Blues,STL,W,Central
1154,2026,Calgary Flames,CGY,W,Pacific
1214,2026,Colorado Avalanche,COL,W,Central
1274,2026,Edmonton Oilers,EDM,W,Pacific
1334,2026,Vancouver Canucks,VAN,W,Pacific
1394,2026,Anaheim Ducks,ANA,W,Pacific
1454,2026,Dallas Stars,DAL,W,Central
1514,2026,Los Angeles Kings,LAK,W,Pacific
1634,2026,San Jose Sharks,SJS,W,Pacific
1694,2026,Columbus Blue Jackets,CBJ,E,Metropolitan
1754,2026,Minnesota Wild,MIN,W,Central
3074,2026,Winnipeg Jets,WPG,W,Central
3194,2026,Vegas Golden Knights,VGK,W,Pacific
49974,2026,Seattle Kraken,SEA,W,Pacific
79197,2026,Utah Mammoth,UTA,W,Central
14,2025,New Jersey Devils,NJD,E,Metropolitan
74,2025,New York Islanders,NYI,E,Metropolitan
134,2025,New York Rangers,NYR,E,Metropolitan
194,2025,Philadelphia Flyers,PHI,E,Metropolitan
254,2025,Pittsburgh Penguins,PIT,E,Metropolitan
314,2025,Boston Bruins,BOS,E,Atlantic
374,2025,Buffalo Sabres,BUF,E,Atlantic
434,2025,Montréal Canadiens,MTL,E,Atlantic
494,2025,Ottawa Senators,OTT,E,Atlantic
554,2025,Toronto Maple Leafs,TOR,E,Atlantic
674,2025,Carolina Hurricanes,CAR,E,Metropolitan
734,2025,Florida Panthers,FLA,E,Atlantic
794,2025,Tampa Bay Lightning,TBL,E,Atlantic
854,2025,Washington Capitals,WSH,E,Metropolitan
914,2025,Chicago Blackhawks,CHI,W,Central
974,2025,Detroit Red Wings,DET,E,Atlantic
1034,2025,Nashville Predators,NSH,W,Central
1094,2025,St. Louis Blues,STL,W,Central
1154,2025,Calgary Flames,CGY,W,Pacific
1214,2025,Colorado Avalanche,COL,W,Central
1274,2025,Edmonton Oilers,EDM,W,Pacific
1334,2025,Vancouver Canucks,VAN,W,Pacific
1394,2025,Anaheim Ducks,ANA,W,Pacific
1454,2025,Dallas Stars,DAL,W,Central
1514,2025,Los Angeles Kings,LAK,W,Pacific
1634,2025,San Jose Sharks,SJS,W,Pacific
1694,2025,Columbus Blue Jackets,CBJ,E,Metropolitan
1754,2025,Minnesota Wild,MIN,W,Central
3074,2025,Winnipeg Jets,WPG,W,Central
3194,2025,Vegas Golden Knights,VGK,W,Pacific
49974,2025,Seattle Kraken,SEA,W,Pacific
79197,2025,Utah Mammoth,UTA,W,Central
14,2024,New Jersey Devils,NJD,E,Metropolitan
74,2024,New York Islanders,NYI,E,Metropolitan
