tradeId,trade_date
310,2018-06-23
370,2018-03-21
430,2018-02-03
490,2017-11-30
550,2017-06-21
610,2017-02-25
670,2015-06-26
730,2015-05-20
790,2011-07-01
850,2011-02-28
910,2011-02-28
1270,2024-06-29
10,2022-03-21
70,2022-03-21
130,2021-07-28
190,2019-12-12
250,2019-02-25
1030,2023-03-10
1090,2024-01-08
1210,2024-03-07
1330,2024-06-29
1150,2024-03-01
1390,2024-08-23
1450,2024-07-15
1510,2024-08-19
1570,2024-11-30
1630,2025-03-07
1690,2025-03-07
1750,2025-03-07
382,2020-10-05
622,2018-06-22
682,2018-02-22
742,2018-02-08
802,2017-10-21
862,2017-02-18
922,2016-06-25
982,2016-02-29
1042,2014-07-01
1102,2012-02-27
1162,2011-06-25
22,2022-10-09
82,2022-07-07
142,2021-12-02
202,2021-07-28
262,2021-07-23
322,2021-04-10
442,2020-02-24
502,2020-02-05
1222,2024-03-08
562,2019-06-27
1282,2025-02-03
454,2019-02-21
514,2019-01-11
574,2018-09-13
634,2018-07-03
694,2018-06-22
754,2018-02-09
814,2016-06-25
874,2016-02-27
934,2015-06-27
994,2015-03-02
1114,2012-02-27
1174,2012-01-20
1234,2011-06-07
1294,2011-05-08
1474,2011-02-27
1594,2011-02-18
1654,2010-06-25
1894,2010-10-05
2134,2013-07-13
2314,2010-07-01
2434,2010-03-02
2674,2013-01-16
2734,2013-02-04
34,2022-07-13
94,2021-07-23
154,2021-04-12
214,2020-10-07
274,2020-02-24
334,2020-02-24
394,2019-06-22
1054,2022-12-19
2794,2025-01-27
406,2019-02-20
466,2018-12-03
526,2017-07-01
586,2017-06-24
646,2017-06-24
706,2017-06-21
766,2017-03-01
826,2016-07-18
886,2016-01-08
946,2015-12-14
1006,2015-06-27
1066,2015-03-02
1126,2014-12-04
1246,2012-06-23
1306,2012-06-23
1366,2012-02-27
1426,2012-02-27
1606,2010-06-28
1846,2011-02-18
1966,2014-03-04
2146,2013-02-28
2266,2014-06-28
2326,2014-03-05
2446,2013-12-19
2566,2011-02-21
2626,2011-02-10
2746,2013-07-16
2806,2010-03-03
2866,2010-06-25
2926,2010-12-09
3046,2014-06-27
3286,2014-03-05
3826,2014-03-05
46,2022-07-08
106,2022-03-21
166,2022-03-18
226,2021-04-12
286,2019-07-01
346,2019-02-25
1486,2023-06-06
4006,2024-06-29
1186,2023-03-02
1546,2023-06-24
4066,2025-03-07
478,2018-06-30
538,2018-06-24
598,2018-06-23
658,2018-06-23
718,2017-10-03
778,2017-03-01
838,2017-03-01
898,2017-02-01
958,2016-06-16
1018,2016-02-29
1078,2016-02-29
1138,2016-01-21
1198,2016-01-16
1258,2015-09-09
1318,2015-05-28
1378,2015-03-02
1438,2015-02-11
1498,2014-07-09
1678,2012-01-13
1738,2011-10-22
2038,2009-12-08
2098,2010-03-03
2218,2013-07-05
2278,2013-03-30
2398,2013-07-04
3598,2014-06-27
3658,2013-03-14
4078,2013-04-02
4138,2010-08-02
4258,2010-03-03
4438,2010-03-03
4498,2010-06-22
4618,2013-09-28
4678,2013-11-21
4798,2010-11-17
4978,2010-06-26
58,2022-07-08
118,2021-07-27
178,2021-04-12
238,2021-04-12
298,2019-10-25
358,2019-07-30
418,2019-06-22
1618,2023-03-03
1918,2023-11-28
5158,2023-11-08
5218,2024-03-08
1558,2023-03-03
5278,2025-03-07
488,2018-11-10
548,2018-01-10
608,2017-06-24
668,2017-06-23
728,2017-06-21
788,2017-06-21
848,2017-03-06
968,2014-11-11
1028,2011-10-04
1088,2011-02-28
8,2022-06-29
68,2022-03-21
128,2022-03-16
248,2020-10-10
308,2020-10-09
368,2020-10-07
428,2019-06-22
1148,2023-03-08
188,2022-02-22
1208,2024-08-20
1268,2025-03-04
560,2019-01-17
620,2019-01-11
740,2018-06-23
800,2018-02-26
860,2017-06-22
920,2017-06-21
980,2016-02-27
1040,2016-02-22
1100,2015-03-02
1220,2013-06-30
1280,2011-08-07
1340,2011-07-03
1580,2009-10-08
1640,2010-03-02
1700,2014-03-05
1760,2009-11-23
1880,2011-02-28
1940,2013-09-28
80,2021-07-22
140,2021-07-17
200,2021-03-24
260,2020-10-12
320,2020-10-07
380,2019-08-14
440,2019-06-24
500,2019-06-14
680,2018-06-23
1820,2023-11-30
20,2021-07-23
1160,2023-02-28
332,2019-02-16
392,2019-01-28
452,2018-09-11
512,2018-06-24
572,2018-06-14
632,2018-02-24
692,2017-11-05
752,2017-10-09
812,2017-09-17
872,2016-06-24
932,2015-03-02
992,2015-02-11
1052,2014-11-21
1172,2013-06-30
1232,2012-01-18
1292,2011-10-12
1352,2011-10-08
32,2022-03-21
92,2022-02-01
152,2021-07-24
212,2021-07-24
272,2020-02-24
1412,2024-06-19
1112,2023-03-01
1472,2024-08-18
464,2018-02-05
524,2017-07-01
584,2017-02-01
644,2016-06-24
704,2016-06-20
764,2016-01-06
824,2015-06-27
944,2013-04-03
1004,2013-04-03
1064,2012-06-23
1124,2012-02-24
1184,2012-02-17
1244,2011-12-06
1304,2011-07-14
1784,2014-06-29
1904,2010-05-25
2024,2010-03-02
2084,2012-07-01
2144,2010-12-09
2204,2013-07-02
2804,2010-03-03
44,2022-07-08
104,2021-07-28
164,2020-10-12
224,2020-08-25
284,2020-02-24
344,2019-06-22
404,2019-06-22
884,2023-02-28
1484,2023-12-06
2864,2024-03-07
2984,2024-03-08
3044,2024-03-08
3104,2024-07-02
2924,2024-03-08
416,2019-02-22
476,2019-01-04
536,2018-06-23
596,2018-02-25
656,2018-02-19
716,2016-05-25
776,2015-06-26
836,2014-12-18
896,2014-07-02
956,2013-04-02
1256,2014-06-27
1376,2013-03-15
1496,2010-07-19
1616,2010-03-01
56,2022-03-19
116,2021-12-09
176,2021-07-24
236,2020-02-17
296,2019-06-28
356,2019-02-25
1016,2023-06-29
1436,2023-08-18
305,2019-01-24
365,2018-06-27
425,2018-02-20
485,2018-02-19
545,2017-03-01
605,2015-06-27
665,2015-06-27
725,2015-02-25
785,2015-02-09
965,2013-04-03
1025,2012-02-25
1085,2011-07-09
1145,2011-06-01
5,2021-07-23
65,2020-09-16
245,2019-06-22
845,2023-02-25
905,2023-02-28
185,2019-06-25
125,2019-11-02
1205,2024-11-12
1265,2025-03-07
437,2018-10-01
497,2018-02-26
557,2017-10-21
617,2017-07-01
677,2017-03-01
737,2017-02-28
797,2017-02-23
857,2017-02-04
917,2016-06-25
977,2016-03-07
1037,2015-06-27
1097,2015-03-02
1157,2015-03-01
1217,2015-01-14
1337,2012-02-27
1397,2012-02-21
1517,2013-01-23
1817,2010-06-26
1877,2010-03-03
1997,2013-01-13
17,2022-03-28
77,2021-10-24
137,2021-04-11
197,2020-10-07
257,2020-10-07
317,2020-09-11
377,2020-02-16
1277,2023-02-28
2357,2024-10-29
2417,2025-01-22
2477,2025-03-06
389,2017-06-23
449,2017-05-31
509,2017-02-26
569,2015-06-27
629,2015-03-02
689,2014-10-04
749,2013-04-02
809,2011-12-17
1109,2013-01-31
1769,2012-07-20
1889,2011-01-18
29,2022-03-21
89,2022-03-21
149,2021-07-24
209,2021-04-07
269,2020-10-07
329,2019-02-25
869,2023-06-27
929,2023-07-02
1349,2024-01-31
1949,2024-06-29
2009,2024-12-06
2069,2024-12-18
2129,2025-03-06
2189,2025-03-07
341,2017-10-28
401,2017-06-26
461,2017-05-09
521,2016-02-25
581,2016-02-09
641,2013-06-30
701,2011-06-24
41,2022-07-07
101,2021-07-29
221,2019-09-24
281,2019-07-25
761,2024-03-08
161,2021-07-28
293,2021-04-12
653,2018-02-26
713,2017-11-10
773,2017-03-01
833,2016-06-29
893,2016-02-27
953,2016-02-27
1013,2016-02-23
1073,2016-01-03
1133,2015-12-16
1193,2015-06-27
1253,2015-03-02
1313,2015-03-02
1433,2013-06-30
1493,2013-06-30
1553,2013-06-12
1613,2012-02-26
1673,2012-02-13
1913,2013-03-12
2153,2010-03-03
2393,2013-07-05
2453,2013-12-30
2513,2013-01-13
2813,2011-02-19
2993,2010-03-03
3113,2014-06-28
3173,2014-02-06
3533,2010-05-28
3773,2010-03-03
3833,2010-06-26
3953,2010-06-23
4013,2010-03-03
4373,2010-03-03
4613,2010-03-03
4673,2011-02-09
4913,2013-07-05
4973,2010-03-03
53,2022-07-11
113,2022-03-21
173,2022-03-21
233,2022-03-19
353,2020-10-07
413,2020-02-24
473,2019-10-26
533,2019-06-22
593,2019-02-22
1373,2023-03-03
5033,2024-05-21
5093,2024-06-30
5153,2024-06-30
5213,2025-03-07
307,2017-11-14
367,2016-11-12
487,2013-06-30
547,2013-06-24
607,2012-03-20
667,2011-06-26
787,2009-10-07
907,2014-03-02
1507,2013-02-26
1627,2013-04-01
7,2021-04-12
67,2020-10-06
127,2020-02-18
247,2019-02-23
427,2023-03-03
1087,2023-10-17
1267,2023-11-26
1747,2024-03-05
187,2019-06-21
1807,2025-01-30
199,2019-02-11
259,2019-01-14
319,2017-06-17
379,2015-07-01
439,2015-06-30
499,2015-03-02
859,2014-02-06
919,2010-03-03
1039,2009-10-18
1159,2013-01-14
1219,2011-02-28
1519,2014-03-04
1699,2010-03-03
1879,2013-03-25
1999,2013-03-12
2119,2010-06-25
2359,2013-02-26
2419,2010-03-03
2599,2011-02-17
2659,2014-06-05
2719,2014-03-05
2779,2013-07-14
2839,2013-01-24
2899,2013-01-24
3019,2010-03-01
3139,2009-10-20
3199,2010-06-25
3319,2013-03-29
3619,2010-08-27
3679,2011-02-26
19,2020-02-10
79,2019-11-20
139,2019-02-22
3859,2024-03-11
3919,2024-06-28
3799,2024-03-07
3979,2024-08-18
4039,2024-08-22
4099,2024-11-08
4159,2024-11-25
571,2019-06-22
751,2018-11-21
811,2017-12-19
871,2017-12-14
931,2017-02-21
991,2016-02-28
1051,2015-07-01
1111,2015-06-27
1171,2015-06-26
1231,2014-11-20
1291,2011-12-02
31,2022-11-30
91,2022-11-23
151,2022-03-15
211,2021-04-12
271,2021-04-10
331,2020-10-10
391,2020-09-02
451,2020-02-20
511,2019-06-22
631,2019-02-25
691,2019-02-25
1351,2023-06-29
1411,2024-03-07
1471,2025-03-01
763,2018-02-26
823,2018-02-14
883,2017-06-21
943,2017-03-01
1003,2017-01-24
1063,2016-07-02
1123,2016-06-25
1183,2016-02-29
1243,2015-06-26
1303,2015-01-29
1363,2014-12-14
1423,2014-10-06
1483,2011-02-28
43,2022-08-18
103,2022-07-08
163,2022-03-21
223,2022-03-21
283,2022-03-20
343,2021-12-29
403,2021-02-15
463,2020-10-07
523,2020-09-26
583,2020-02-24
643,2019-02-25
703,2019-02-24
1543,2024-06-27
1603,2025-03-05
475,2019-06-22
535,2018-05-03
595,2018-02-26
655,2017-10-04
715,2017-03-01
775,2017-02-27
835,2016-02-29
895,2016-02-29
955,2014-11-20
1075,2013-06-30
1135,2013-06-27
1195,2013-04-03
1795,2010-03-03
1855,2011-02-15
1915,2011-02-28
2095,2011-01-01
2395,2024-06-29
55,2022-07-13
235,2021-04-12
295,2020-01-07
355,2019-07-09
415,2019-06-30
1015,2023-02-28
1255,2023-06-29
1315,2023-06-26
115,2022-03-21
175,2021-07-24
2455,2024-12-14
2515,2025-03-07
372,2018-02-26
432,2017-07-01
492,2016-02-24
552,2015-12-28
612,2015-03-02
672,2015-02-27
732,2012-02-27
792,2012-02-16
1152,2010-08-16
1452,2010-03-03
1512,2010-07-30
1632,2010-03-03
1692,2010-06-26
1812,2014-06-28
2052,2024-03-08
72,2021-03-20
132,2021-01-19
192,2020-02-24
252,2019-06-29
312,2019-06-22
852,2023-07-01
1752,2023-08-09
1932,2024-03-07
1992,2024-03-07
2112,2024-03-08
12,2022-07-08
2172,2024-10-06
2232,2024-10-31
324,2018-12-03
384,2018-11-27
444,2017-03-01
504,2015-06-30
564,2015-06-19
624,2015-03-02
684,2015-02-24
924,2012-02-27
984,2011-08-29
1344,2014-03-02
1404,2013-07-08
24,2020-10-08
84,2020-02-18
144,2020-01-02
204,2019-08-06
264,2019-06-22
744,2023-02-22
804,2023-03-01
864,2023-03-03
1044,2023-06-29
1104,2023-06-27
1164,2023-07-09
2004,2024-06-30
2064,2024-11-30
2124,2025-01-15
2184,2025-02-07
636,2018-06-19
696,2018-01-22
756,2017-06-30
816,2016-10-08
876,2016-02-29
936,2016-02-27
996,2015-02-28
1116,2013-04-03
1176,2012-02-27
1236,2011-06-29
1716,2010-05-13
1776,2013-02-13
1836,2011-02-24
1896,2014-06-29
2016,2010-11-23
2076,2010-03-03
2136,2013-03-28
2256,2014-01-15
2316,2010-06-25
36,2022-10-27
96,2022-07-08
156,2022-07-07
216,2022-03-20
276,2022-03-02
336,2021-07-31
456,2020-10-06
516,2019-06-22
576,2019-06-22
1056,2023-02-17
1596,2023-12-08
2376,2024-06-29
396,2021-07-24
2436,2025-03-07
468,2017-06-24
528,2016-02-27
588,2015-03-01
648,2013-06-30
708,2011-12-12
768,2011-11-08
828,2011-07-08
948,2014-03-05
1128,2009-12-02
48,2022-07-08
168,2022-03-21
228,2021-07-23
408,2019-06-15
888,2023-06-26
1788,2024-03-07
108,2022-07-07
288,2020-12-26
348,2019-11-07
1848,2025-02-01
300,2018-12-28
360,2018-11-16
420,2017-06-24
480,2017-06-22
540,2017-06-17
600,2017-06-15
660,2016-06-25
720,2015-07-28
900,2012-06-23
960,2012-06-10
1020,2011-06-23
1080,2011-03-01
1200,2010-06-26
1380,2009-10-20
1440,2014-03-05
1500,2014-06-28
1560,2010-06-26
1680,2010-06-29
1800,2014-03-02
1920,2010-11-23
1980,2011-02-09
2040,2013-02-06
2160,2011-02-28
2220,2013-01-14
60,2022-03-16
120,2021-07-24
180,2020-09-12
780,2023-03-01
840,2023-03-03
1860,2023-12-15
2280,2024-02-28
2340,2024-06-29
2400,2024-06-29
2460,2024-07-02
1140,2023-03-09
240,2019-10-23
611,2016-06-24
671,2015-06-27
731,2014-12-16
911,2012-06-23
971,2012-06-15
1031,2012-02-27
1091,2012-02-16
1211,2010-03-03
1451,2010-12-31
1631,2013-09-29
1691,2014-03-05
1871,2010-03-03
1931,2013-07-02
1991,2014-01-01
2171,2014-01-15
2231,2014-03-05
2291,2014-03-04
2351,2011-02-28
2411,2013-03-24
2651,2010-11-29
2711,2009-12-28
2831,2011-02-28
3071,2013-02-14
3311,2010-06-21
3371,2010-11-30
3611,2014-04-19
3671,2014-03-14
3791,2011-02-15
3851,2010-01-31
4031,2010-06-19
4091,2013-03-30
11,2022-10-26
71,2022-07-22
131,2022-07-08
191,2022-07-08
251,2022-03-20
311,2021-07-12
371,2020-10-07
431,2020-10-07
491,2020-02-19
551,2019-02-25
791,2023-02-25
851,2023-03-02
1151,2023-03-20
3011,2023-09-19
3491,2023-10-10
4331,2024-06-26
4391,2024-06-29
4451,2024-06-29
4511,2024-06-29
263,2018-02-20
323,2017-07-04
383,2017-06-23
443,2017-03-01
503,2017-02-27
563,2016-06-24
623,2016-06-20
683,2016-03-05
743,2015-03-01
803,2014-10-05
923,2012-05-26
983,2011-09-08
1043,2011-07-09
1103,2011-06-24
1163,2010-06-17
1283,2010-07-28
1523,2010-11-21
1823,2011-02-14
23,2022-03-21
83,2022-03-14
143,2021-11-30
203,2019-06-03
863,2023-03-01
1403,2023-10-08
2063,2024-11-27
455,2020-10-05
755,2019-02-16
815,2019-02-06
875,2018-06-30
935,2018-06-14
995,2017-02-20
1055,2015-09-11
1115,2015-07-02
1175,2015-03-02
1235,2014-11-25
1295,2014-07-01
1535,2012-02-27
1595,2011-06-25
95,2022-06-10
155,2021-07-30
215,2021-07-24
275,2021-07-16
335,2021-07-01
395,2020-10-07
515,2020-02-24
575,2020-02-23
635,2020-02-22
1355,2023-02-25
1415,2023-02-28
1475,2023-03-02
1655,2024-03-06
35,2022-07-13
695,2019-02-25
1715,2024-12-06
1775,2025-03-07
647,2019-01-11
707,2018-06-23
767,2018-06-08
827,2017-12-19
887,2017-03-01
947,2017-02-15
1007,2016-12-09
1067,2016-06-20
1127,2015-03-02
1187,2015-02-28
1247,2015-02-28
1307,2013-04-03
1367,2012-06-23
1427,2011-07-29
1487,2011-07-07
1547,2011-06-25
1667,2014-06-30
1907,2010-07-22
2087,2010-03-03
2267,2013-01-16
2387,2010-03-03
2687,2011-02-24
2867,2011-01-13
107,2022-03-16
167,2021-07-24
227,2021-07-24
287,2021-04-11
347,2021-04-09
407,2021-02-13
467,2020-10-11
527,2019-02-25
1607,2023-06-28
3107,2024-03-06
3167,2024-07-06
47,2022-03-21
587,2019-02-25
3227,2024-08-20
3287,2024-12-18
3347,2025-01-03
239,2018-02-26
299,2017-12-08
359,2017-11-30
419,2017-06-29
479,2017-06-21
539,2016-06-23
599,2016-02-29
659,2015-06-27
719,2015-04-24
779,2015-02-26
899,2012-02-03
959,2011-07-01
1019,2011-06-24
1139,2023-08-06
59,2021-01-12
119,2020-02-16
179,2019-12-30
839,2023-02-26
1079,2023-06-29
1199,2024-05-24
1259,2025-03-05
1319,2025-03-07
249,2021-04-12
489,2020-02-24
609,2018-06-23
669,2017-06-14
729,2017-02-27
789,2017-02-26
849,2016-02-29
909,2016-02-28
969,2015-06-02
1209,2012-02-27
1269,2011-10-12
1329,2011-07-09
1389,2011-06-25
9,2022-10-07
69,2022-07-03
129,2022-03-20
309,2021-01-27
369,2020-10-07
429,2020-02-24
549,2019-06-30
1029,2023-02-26
1089,2023-02-28
1149,2023-03-03
189,2021-07-22
1449,2025-03-14
321,2019-01-17
381,2018-02-21
441,2017-02-28
501,2017-02-24
561,2015-01-02
621,2014-12-29
801,2013-04-02
861,2011-12-02
921,2011-02-28
981,2011-02-18
1041,2014-06-28
1221,2011-02-17
1281,2014-03-04
1641,2013-11-14
2061,2013-04-01
2301,2011-02-28
2421,2010-02-09
21,2021-07-26
81,2021-01-23
141,2020-12-11
201,2020-10-07
261,2019-02-25
681,2023-02-27
2481,2024-06-29
741,2023-03-02
2541,2025-01-31
2601,2025-03-07
273,2021-07-24
453,2018-02-26
513,2018-02-21
573,2017-11-23
633,2017-02-24
693,2016-06-25
753,2015-03-02
813,2009-09-05
873,2010-02-12
933,2013-04-01
1053,2010-12-11
1773,2010-03-01
2013,2010-07-01
2073,2010-06-30
2193,2013-12-06
2613,2010-06-26
