contractId,playerId,season,seasonStart,seasonEnd,aav,tradeId,toTeamId,fromTeamId,amountOfCapRetained,acquiringCap
8341,48956,2020,2016,2021,5700000,523,974,134,0,5700000
9782,32052,2022,2020,2023,7000000,55,674,3194,0,7000000
10143,47988,2020,2019,2021,1800000,377,794,14,0,1800000
11824,51955,2023,2020,2023,5500000,1415,1754,1694,2750000,2750000
7865,22880,2022,2021,2022,2000000,99,1454,974,1000000,1000000
9306,78303,2021,2020,2021,700000,77,494,1634,0,700000
8407,60697,2021,2021,2021,735000,143,1034,494,0,735000
10088,32112,2025,2020,2025,5166667,3001,794,974,3875000,1291667
9789,80257,2022,2020,2022,1137500,22,1274,1094,0,1137500
7330,52255,2021,2021,2022,800000,177,314,374,0,800000
11051,76804,2021,2020,2021,925000,411,494,1034,0,925000
9792,46153,2022,2020,2022,925000,121,674,134,0,925000
10633,59909,2024,2020,2026,8000000,2009,1394,134,0,8000000
10334,23000,2022,2021,2022,1400000,117,854,1574,700000,700000
11955,46037,2022,2021,2022,1200000,32,314,494,0,1200000
10096,55106,2021,2019,2022,3000000,20,1574,1334,0,3000000
9917,55915,2021,2019,2022,3000000,20,1574,1334,0,3000000
11298,55225,2021,2019,2021,3000000,182,674,974,0,3000000
10459,46215,2022,2021,2022,725000,23,974,1094,0,725000
8540,48716,2019,2018,2022,5250000,560,674,1754,0,5250000
8781,119039,2021,2021,2021,950000,154,554,1394,0,950000
12022,78363,2020,2020,2021,1900000,455,1634,1754,0,1900000
9923,32231,2022,2022,2025,6250000,38,254,434,0,6250000
13344,48836,2025,2021,2026,5250000,1335,1214,314,0,5250000
8845,60818,2020,2019,2022,2700000,337,734,1694,0,2700000
11066,47570,2024,2020,2024,5825000,1655,794,1394,2912500,2912500
8727,59489,2022,2021,2022,725000,223,1514,3074,0,725000
8368,47692,2025,2020,2025,6000000,2477,1214,74,3000000,3000000
12329,60759,2021,2017,2022,5400000,228,914,1694,0,5400000
11310,60701,2020,2020,2021,850000,308,3194,3074,0,850000
9871,46035,2021,2021,2021,700000,343,1754,1094,0,700000
9272,47753,2022,2021,2022,2300000,103,1634,1034,0,2300000
10653,48052,2022,2021,2022,725000,70,1634,1754,0,725000
9694,30685,2021,2021,2023,1600000,177,374,314,0,1600000
10595,49016,2017,2016,2021,6500000,383,1574,134,0,6500000
8016,45977,2023,2021,2023,750000,681,914,554,0,750000
9817,48657,2019,2019,2023,5250000,264,1334,794,0,5250000
9638,181451,2020,2020,2021,700000,279,1034,494,0,700000
9339,64041,2025,2018,2025,6125000,5278,734,314,3062500,3062500
8560,32350,2021,2019,2021,910000,343,1094,1754,0,910000
12521,48775,2020,2020,2021,3250000,65,374,1754,0,3250000
9762,82091,2020,2019,2023,5300000,208,734,254,0,5300000
10483,149522,2018,2017,2021,925000,387,134,794,0,925000
10124,31872,2019,2017,2022,3900000,649,914,434,0,3900000
11445,51894,2021,2020,2022,5500000,88,1574,734,0,5500000
10066,47632,2021,2016,2022,5500000,275,974,74,0,5500000
9692,861290,2022,2021,2022,1350000,136,794,494,600750,749250
13248,48777,2021,2020,2021,3250000,105,1094,134,0,3250000
10369,45975,2021,2019,2021,900000,74,914,734,0,900000
10310,46156,2021,2020,2021,900000,265,1514,494,0,900000
8391,47870,2021,2014,2021,5750000,209,74,14,2875000,2875000
12232,81579,2020,2020,2021,925000,234,734,674,0,925000
9473,52014,2020,2020,2021,775000,148,914,3194,0,775000
9594,25924,2022,2021,2023,925000,11,194,914,0,925000
13255,79769,2024,2023,2025,925000,2864,1634,794,0,925000
10736,52195,2021,2020,2021,2000000,211,3074,1334,0,2000000
10617,46393,2020,2019,2021,925000,119,14,74,0,925000
10978,16037,2023,2022,2024,925000,1186,1574,1274,0,925000
10019,97212,2022,2015,2022,8275000,30,734,194,4137500,4137500
9960,47629,2023,2021,2023,2800000,1104,1634,14,0,2800000
8461,60877,2022,2022,2026,5400000,76,49974,1694,0,5400000
10142,76744,2021,2020,2021,925000,209,14,74,0,925000
10683,83959,2019,2019,2022,1375000,551,494,3194,0,1375000
12064,60879,2021,2018,2024,5875000,135,194,1694,0,5875000
8105,70347,2024,2023,2025,925000,2064,1694,1754,0,925000
9606,97273,2025,2022,2026,3000000,3409,554,194,1500000,1500000
8467,74286,2025,2022,2024,1585000,2436,914,79197,0,1585000
10088,32112,2025,2020,2025,5166667,3001,974,49974,2583333,2583334
9909,110332,2021,2020,2021,3000000,114,1214,974,1500000,1500000
7990,79656,2021,2019,2021,875000,175,1514,1574,0,875000
11531,146212,2023,2021,2023,925000,5158,1634,1754,0,925000
9912,60761,2025,2020,2025,9250000,1230,674,914,4625000,4625000
10813,74346,2021,2021,2021,750000,150,674,1394,0,750000
10454,47572,2023,2019,2024,5000000,1255,914,74,0,5000000
12195,60578,2019,2019,2021,925000,593,494,1694,0,925000
10156,59609,2021,2021,2022,1550000,232,1514,134,0,1550000
10397,128965,2023,2016,2023,10500000,1160,134,1574,2625000,7875000
11478,60160,2023,2022,2023,925000,1062,1394,914,0,925000
11119,82391,2019,2017,2022,4083333,408,914,254,0,4083333
8600,71432,2024,2022,2024,925000,2138,1214,1034,0,925000
8841,127282,2017,2017,2022,3850000,614,914,1574,0,3850000
12202,78782,2021,2021,2021,750000,21,14,1634,0,750000
9923,32231,2023,2022,2025,6250000,1139,434,254,1562500,4687500
13464,59550,2022,2021,2022,900000,159,3074,49974,0,900000
8905,64162,2021,2016,2023,8250000,20,1334,1574,990000,7260000
11066,47570,2024,2020,2024,5825000,1655,1274,794,1456250,4368750
8787,59667,2021,2020,2023,3500000,74,914,734,0,3500000
8488,64101,2022,2020,2022,2533334,60,134,734,0,2533334
12629,78482,2022,2021,2022,725000,70,1754,1634,0,725000
