playerId,position,positionGeneral,league,leagueLevel,tradeId,regularGoalsAgainst,regularShotsAgainst,regularShutouts,regularSaves,regularWins,regularLosses,regularOtLosses,postseasonGoalsAgainst,postseasonShotsAgainst,postseasonSaves,postseasonShutouts,postseasonWins,postseasonLosses,postseasonOtLosses
106166,G,G,ahl,professional,736,241,2971,7,2730,58,31,10,26,412,386,1,8,5,NULL
106174,G,G,ahl,professional,785,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
312039,G,G,ahl,professional,555,594,6728,18,6134,129,93,18,34,543,509,4,14,6,NULL
389277,G,G,ahl,professional,1152,195,2339,10,2144,49,27,5,26,266,240,1,6,4,0
823303,G,G,ahl,professional,546,4,30,0,26,1,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28272,G,G,ahl,professional,358,137,1668,4,1531,28,20,6,11,121,110,0,1,2,0
529759,G,G,ahl,professional,49,274,2696,4,2422,45,39,8,8,62,54,0,0,2,NULL
143027,G,G,ahl,professional,652,131,1639,2,1508,29,23,3,15,112,97,0,2,2,0
843721,G,G,ahl,professional,182,368,3847,14,3479,89,45,14,54,653,599,2,14,8,NULL
413820,G,G,ahl,professional,2395,118,1658,4,1540,29,16,7,12,149,137,0,3,2,0
462703,G,G,ahl,professional,2421,231,3154,8,2923,61,32,6,51,877,826,3,16,10,0
97272,G,G,ahl,professional,495,210,2518,5,2308,40,32,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
520449,G,G,ahl,professional,125,234,2472,4,2238,40,35,6,10,133,123,1,2,2,0
809247,G,G,ahl,professional,1234,374,4254,11,3880,56,64,20,40,433,393,1,8,7,0
102716,G,G,ahl,professional,499,95,1120,2,1025,25,11,2,82,1122,1040,5,30,10,0
833228,G,G,ahl,professional,1139,254,2916,6,2662,57,33,11,36,437,401,1,7,7,0
580002,G,G,ahl,professional,459,244,3357,15,3113,80,28,8,56,653,597,3,17,8,NULL
412067,G,G,ahl,professional,1081,208,2507,10,2299,42,36,10,7,124,117,1,1,3,0
116203,G,G,ahl,professional,432,406,4130,8,3724,74,47,29,12,86,74,0,0,3,0
842118,G,G,ahl,professional,971,18,187,0,169,3,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48656,G,G,ahl,professional,383,56,661,2,605,15,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94400,G,G,ahl,professional,696,527,6030,18,5503,102,91,18,47,365,318,0,3,8,0
834216,G,G,ahl,professional,153,174,2101,7,1927,36,26,13,2,27,25,0,1,0,0
180480,G,G,ahl,professional,793,481,5461,15,4980,100,67,31,67,785,718,1,18,8,0
843319,G,G,ahl,professional,470,542,6311,16,5769,110,84,22,49,576,527,0,9,9,0
52012,G,G,ahl,professional,790,78,895,2,817,24,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
832263,G,G,ahl,professional,49,295,3417,8,3122,54,52,5,22,351,329,2,5,5,NULL
91698,G,G,ahl,professional,478,9,101,0,92,3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63802,G,G,ahl,professional,85,352,3876,10,3524,67,51,16,20,258,238,2,4,5,0
813029,G,G,ahl,professional,2041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48052,G,G,ahl,professional,70,181,2162,13,1981,42,20,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60758,G,G,ahl,professional,780,115,1316,2,1201,20,20,11,25,245,220,0,6,2,0
577545,G,G,ahl,professional,1719,151,1580,2,1429,15,30,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
570819,G,G,ahl,professional,1390,102,960,0,858,6,17,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182470,G,G,ahl,professional,191,346,3680,11,3334,71,44,22,18,239,221,1,2,5,0
845043,G,G,ahl,professional,277,104,1216,7,1112,22,16,5,8,96,88,0,2,1,0
570879,G,G,ahl,professional,1405,43,324,0,281,3,4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
813204,G,G,ahl,professional,1686,443,4568,8,4125,84,63,16,22,234,212,0,3,4,0
526093,G,G,ahl,professional,52,448,4737,8,4289,70,62,30,8,94,86,0,0,2,0
140444,G,G,ahl,professional,106,489,5181,13,4692,84,69,17,41,436,395,2,6,9,NULL
47993,G,G,ahl,professional,322,405,4331,3,3926,44,81,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
809307,G,G,ahl,professional,3327,362,4012,5,3650,63,50,11,57,486,429,0,8,8,NULL
70703,G,G,ahl,professional,98,207,2086,6,1879,40,25,12,21,241,220,0,3,5,0
594073,G,G,nhl,professional,856,975,11392,28,10417,196,144,50,28,315,287,0,3,8,NULL
222440,G,G,ahl,professional,1263,5,110,0,105,3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
833164,G,G,ahl,professional,142,295,3591,6,3296,56,45,22,19,234,215,0,3,5,0
119099,G,G,ahl,professional,981,324,3752,12,3428,73,58,11,58,738,680,0,8,15,NULL
601420,G,G,ahl,professional,2521,66,710,0,644,11,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
746320,G,G,ahl,professional,419,263,3417,10,3154,57,46,8,36,501,465,2,8,7,0
615867,G,G,ahl,professional,410,497,6064,19,5567,98,79,24,31,304,273,0,7,6,0
487125,G,G,ahl,professional,1000,473,4930,9,4457,96,72,7,32,303,271,2,5,6,0
610231,G,G,ahl,professional,1175,618,7008,12,6390,119,95,7,46,407,361,0,5,9,0
544672,G,G,ahl,professional,1632,584,6837,20,6253,118,95,12,8,76,68,0,0,2,0
376376,G,G,ahl,professional,539,84,885,0,801,14,11,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
330316,G,G,ahl,professional,1195,503,5260,8,4757,84,83,14,3,6,3,0,0,1,0
140804,G,G,ahl,professional,409,408,5054,14,4646,92,56,17,48,720,672,3,12,10,0
106166,G,G,ahl,professional,1115,55,732,3,677,17,4,4,7,130,123,0,3,1,NULL
106174,G,G,nhl,professional,785,1630,18398,59,16768,353,227,86,208,2270,2062,7,42,42,NULL
312039,G,G,ahl,professional,752,671,7480,19,6809,146,101,19,34,557,523,4,14,6,NULL
389277,G,G,ahl,professional,3071,416,4998,19,4582,95,62,14,68,724,656,4,19,9,0
28205,G,G,ahl,professional,637,1342,15472,30,14130,255,196,49,199,2245,2046,2,35,35,0
28272,G,G,ahl,professional,597,131,1645,4,1514,27,20,6,11,121,110,0,1,2,0
529759,G,G,ahl,professional,940,19,216,0,197,2,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
520509,G,G,ahl,professional,806,432,4725,13,4293,88,60,21,46,503,457,2,9,7,NULL
843721,G,G,nhl,professional,182,57,788,3,731,17,7,4,22,275,253,1,4,5,NULL
413820,G,G,nhl,professional,2395,264,3001,4,2737,56,32,11,10,127,117,0,2,2,0
462703,G,G,nhl,professional,2421,590,6712,14,6122,100,87,17,11,73,62,0,0,2,NULL
97272,G,G,ahl,professional,981,207,2462,4,2255,39,31,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
520449,G,G,ahl,professional,302,264,2760,5,2496,46,38,8,10,133,123,1,2,2,0
809247,G,G,ahl,professional,2291,380,4304,11,3924,57,65,20,40,433,393,1,8,7,0
102716,G,G,ahl,professional,1691,95,1120,2,1025,25,11,2,82,1122,1040,5,30,10,0
833228,G,G,ahl,professional,3011,254,2916,6,2662,57,33,11,36,437,401,1,7,7,0
580002,G,G,nhl,professional,459,107,1048,2,941,14,18,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
412067,G,G,ahl,professional,1095,510,5892,15,5382,100,83,22,10,145,135,1,1,4,0
116203,G,G,nhl,professional,432,3,73,0,70,1,0,1,2,20,18,0,0,1,NULL
842118,G,G,ahl,professional,1438,33,459,1,426,8,6,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48656,G,G,ahl,professional,651,56,661,2,605,15,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94400,G,G,nhl,professional,696,113,1230,1,1117,18,21,4,6,65,59,0,1,1,NULL
834216,G,G,nhl,professional,153,17,149,0,132,2,2,1,3,15,12,0,0,0,0
180480,G,G,nhl,professional,793,68,565,2,497,5,9,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
843319,G,G,ahl,professional,1825,343,3813,10,3470,66,59,7,37,482,445,0,7,8,0
52012,G,G,nhl,professional,790,136,1636,4,1500,30,13,12,46,542,496,2,10,9,NULL
832263,G,G,ahl,professional,332,295,3417,8,3122,54,52,5,22,351,329,2,5,5,NULL
91698,G,G,ahl,professional,1307,5,79,0,74,2,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63802,G,G,ahl,professional,98,349,3840,10,3491,67,50,16,20,258,238,2,4,5,0
813029,G,G,nhl,professional,2041,1929,23815,66,21886,373,312,93,163,1939,1776,5,32,31,NULL
48052,G,G,ahl,professional,2562,259,2863,14,2604,49,38,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60758,G,G,ahl,professional,1334,115,1316,2,1201,20,20,11,25,245,220,0,6,2,0
577545,G,G,ahl,professional,3327,151,1580,2,1429,15,30,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
570819,G,G,nhl,professional,1390,37,262,0,225,1,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182470,G,G,ahl,professional,202,344,3657,11,3313,71,43,22,18,239,221,1,2,5,0
