playerId,position,positionGeneral,league,leagueLevel,tradeId,regularGoalsAgainst,regularShotsAgainst,regularShutouts,regularSaves,regularWins,regularLosses,regularOtLosses,postseasonGoalsAgainst,postseasonShotsAgainst,postseasonSaves,postseasonShutouts,postseasonWins,postseasonLosses,postseasonOtLosses
106166,G,G,ahl,professional,736,186,2239,4,2053,41,27,6,19,282,263,1,5,4,NULL
106174,G,G,nhl,professional,785,132,1330,4,1198,18,20,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
312039,G,G,ahl,professional,555,33,367,0,334,4,4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
389277,G,G,ahl,professional,3071,161,2027,8,1866,31,29,8,42,458,416,3,13,5,0
823303,G,G,ahl,professional,546,4,30,0,26,1,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28272,G,G,ahl,professional,358,6,23,0,17,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
529759,G,G,ahl,professional,49,82,940,3,858,16,13,2,8,62,54,0,0,2,NULL
143027,G,G,ahl,professional,652,131,1639,2,1508,29,23,3,15,112,97,0,2,2,0
843721,G,G,ahl,professional,182,69,734,4,665,16,10,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
413820,G,G,nhl,professional,2395,215,2430,3,2215,46,27,8,10,127,117,0,2,2,0
462703,G,G,ahl,professional,2421,11,109,0,98,1,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97272,G,G,nhl,professional,495,174,2263,9,2089,49,22,9,44,553,509,1,9,9,NULL
520449,G,G,ahl,professional,302,30,288,1,258,6,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
809247,G,G,ahl,professional,2291,6,50,0,44,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102716,G,G,ahl,professional,499,4,37,0,33,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
833228,G,G,nhl,professional,1139,175,1911,3,1736,26,22,9,3,51,48,0,0,0,NULL
580002,G,G,ahl,professional,459,75,1181,6,1106,31,9,3,42,497,455,2,14,5,NULL
412067,G,G,ahl,professional,1095,80,872,1,792,16,12,2,3,21,18,0,0,1,0
116203,G,G,ahl,professional,432,196,2018,1,1822,31,22,21,0,14,14,0,0,0,0
842118,G,G,ahl,professional,1438,15,272,1,257,5,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48656,G,G,nhl,professional,383,104,1312,5,1208,27,14,4,4,38,34,0,0,1,NULL
94400,G,G,ahl,professional,696,72,656,2,584,6,12,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
834216,G,G,ahl,professional,153,64,943,4,879,17,11,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180480,G,G,ahl,professional,793,224,2253,4,2029,36,29,20,5,66,61,1,1,2,0
843319,G,G,ahl,professional,470,132,1669,6,1537,31,15,12,12,94,82,0,2,1,0
52012,G,G,ahl,professional,790,16,159,0,143,5,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
832263,G,G,nhl,professional,49,218,2496,5,2278,51,20,9,21,248,227,2,3,5,NULL
91698,G,G,ahl,professional,478,4,22,0,18,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63802,G,G,ahl,professional,85,11,95,0,84,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
