playerId,position,positionGeneral,league,leagueLevel,tradeId,regularGamesPlayed,regularGoals,regularAssists,regularPenaltyMinutes,postseasonGamesPlayed,postseasonGoals,postseasonAssists,postseasonPenaltyMinutes,regular_hits,regular_blockedShots,regular_powerplayGoals,regular_shots,regular_atoi,regular_pp_atoi,regular_pk_atoi
546520,RW,F,nhl,professional,3851,737,81,107,969,48,5,8,20,616,NULL,0,785,758.9526515,0,0
653507,LW,F,nhl,professional,2257,68,11,9,16,26,7,16,6,19,NULL,0,75,770.7413793,0,0
365341,RW,F,nhl,professional,1340,621,209,303,332,67,19,30,44,226,NULL,53,1388,1025.554529,0,0
430990,LW,F,nhl,professional,1972,393,91,155,105,27,8,9,4,196,NULL,16,712,992.9315476,0,0
681801,LW,F,nhl,professional,1247,581,123,187,168,35,4,5,12,265,NULL,28,1049,941.9007782,0,0
328512,RW,F,nhl,professional,955,560,142,134,468,27,11,4,59,644,NULL,23,1111,989.3800813,0,0
843964,RD,D,nhl,professional,3003,562,19,115,136,27,0,0,10,621,712,0,635,1120.279359,2.959074733,136.4822064
483641,LW,F,nhl,professional,2599,652,58,84,1078,58,5,5,114,951,NULL,2,529,663.3121597,0,0
544489,LD,D,nhl,professional,1114,449,12,44,202,18,0,5,6,776,NULL,0,242,1191.132468,0,0
740313,RD,D,nhl,professional,1107,519,28,89,762,43,3,5,36,504,NULL,2,614,908.7577778,0,0
573286,LW,F,nhl,professional,575,926,443,433,544,40,11,17,33,455,42,125,2895,1264.423586,21.11070999,0.032490975
58520,LW,F,nhl,professional,1681,953,250,287,1452,91,19,28,146,1231,NULL,74,1944,962.7934386,0,0
384294,C,F,nhl,professional,758,82,6,11,14,10,1,0,2,118,NULL,0,73,528.9605263,0,0
328632,RW,F,nhl,professional,1474,493,150,199,169,11,3,1,0,309,NULL,41,1061,1030.096998,0,0
463606,LD,D,nhl,professional,1429,652,66,144,274,71,0,17,26,395,NULL,21,798,1253.55536,0,0
60998,RW,F,nhl,professional,137,957,203,283,769,55,9,14,45,1922,294,45,1643,985.4355204,63.4321267,28.39140271
355184,C,F,nhl,professional,670,1057,223,381,537,55,13,15,46,336,NULL,29,1655,1052.397875,0,0
80741,LW,F,nhl,professional,2417,19,1,2,6,NULL,NULL,NULL,NULL,19,18,0,17,648.6315789,29.52631579,1.842105263
833048,C,F,nhl,professional,840,823,158,195,243,105,19,29,45,302,628,25,1224,948.2299873,66.08767471,90.24142313
141166,RW,F,nhl,professional,839,486,131,167,82,20,4,7,4,277,193,31,994,987.9180672,154.0651261,2.552521008
738874,RW,F,nhl,professional,2359,749,228,236,625,43,6,8,52,1536,NULL,47,1586,1071.725732,0,0
833227,LW,F,nhl,professional,1115,443,109,200,239,30,5,4,12,555,NULL,22,816,1119.170918,0,0
144348,LW,F,nhl,professional,112,726,65,74,872,64,4,12,62,1464,82,1,911,614.8143275,3.615497076,3.611111111
818263,RW,F,nhl,professional,3289,0,0,0,0,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
739716,C,F,nhl,professional,4613,634,121,178,283,37,2,5,26,480,NULL,24,931,980.1413043,0,0
686938,C,F,nhl,professional,1028,309,24,35,115,24,4,3,8,336,NULL,1,304,765.9700375,0,0
832445,RW,F,nhl,professional,3063,13,1,1,4,NULL,NULL,NULL,NULL,18,6,0,13,545.3846154,37.46153846,0
433032,LW,F,nhl,professional,919,432,98,84,312,30,4,11,30,499,NULL,19,613,789.3844011,0,0
678238,C,F,nhl,professional,128,574,106,135,119,75,4,15,10,305,165,13,890,933.2495544,59.90196078,92.73083779
376015,C,F,nhl,professional,1665,155,22,26,22,2,0,0,0,44,NULL,4,179,801.5597015,0,0
218263,LD,D,nhl,professional,1600,98,3,5,86,1,0,0,0,173,NULL,0,35,735.5,0,0
765496,LD,D,nhl,professional,1879,465,7,55,370,72,4,9,78,968,NULL,1,370,1058.305,0,0
78722,LW,F,nhl,professional,1690,283,36,33,112,2,0,0,0,520,157,2,473,743.8586572,26.74911661,21.58657244
119340,C,F,nhl,professional,185,482,86,159,174,32,1,9,12,352,244,17,885,976.6179039,72.49563319,79.73362445
523688,RD,D,nhl,professional,992,414,40,94,363,NULL,NULL,NULL,NULL,757,NULL,6,803,1335.690411,0,0
74761,D,D,nhl,professional,1938,81,2,11,10,20,2,1,4,41,52,0,67,762.2098765,12.44444444,54.18518519
388001,C,F,nhl,professional,1231,9,1,0,21,NULL,NULL,NULL,NULL,7,NULL,0,6,280.1428571,0,0
769393,LD,D,nhl,professional,661,42,0,2,12,NULL,NULL,NULL,NULL,69,10,0,33,988,0.076923077,3.538461538
619332,C,F,nhl,professional,841,10,0,1,14,NULL,NULL,NULL,NULL,2,2,0,7,522.2222222,0,0
55737,C,F,nhl,professional,1848,887,175,425,275,59,11,21,10,670,496,38,1474,1120.817865,116.075406,61.18213457
