playerId,position,positionGeneral,league,leagueLevel,tradeId,regularGamesPlayed,regularGoals,regularAssists,regularPenaltyMinutes,postseasonGamesPlayed,postseasonGoals,postseasonAssists,postseasonPenaltyMinutes,regular_hits,regular_blockedShots,regular_powerplayGoals,regular_shots,regular_atoi,regular_pp_atoi,regular_pk_atoi
152890,RW,F,nhl,professional,1300,75,5,11,32,7,0,1,0,220,41,4,285,845.3214286,62.74285714,0.314285714
653507,LW,F,nhl,professional,2257,55,6,5,10,19,7,14,6,19,NULL,0,75,770.7413793,0,0
28455,C,F,nhl,professional,736,57,2,4,75,NULL,NULL,NULL,NULL,268,15,0,90,594.1315789,1.263157895,34.40350877
431410,LW,F,nhl,professional,1323,22,0,2,15,NULL,NULL,NULL,NULL,27,NULL,0,16,588.8636364,0,0
716890,LD,D,nhl,professional,742,4,0,2,0,NULL,NULL,NULL,NULL,8,1,0,1,627.5,0,19.5
287958,LW,F,nhl,professional,380,65,7,13,40,3,0,0,2,196,34,2,99,626.1590909,23.71590909,13.39772727
832443,C,F,nhl,professional,129,58,10,10,14,7,1,1,0,136,43,3,141,771.6952381,40.74285714,50.8
47928,C,F,nhl,professional,3107,63,13,10,34,NULL,NULL,NULL,NULL,94,34,9,164,877.8559322,148.9237288,11.19491525
544489,LD,D,nhl,professional,1114,56,3,5,18,7,0,1,0,256,NULL,0,80,1196.811475,0,0
105987,C,F,nhl,professional,1398,82,16,29,42,22,7,11,18,342,74,6,237,995.9877301,101.993865,55.04294479
391986,RD,D,nhl,professional,1446,36,1,7,20,NULL,NULL,NULL,NULL,98,111,0,59,924.4747475,2.626262626,48.50505051
58520,LW,F,nhl,professional,1681,78,20,32,103,7,0,3,6,205,NULL,10,259,999.0612245,0,0
582957,RW,F,nhl,professional,1039,36,1,2,47,NULL,NULL,NULL,NULL,160,NULL,1,87,532.6097561,0,0
618186,LW,F,nhl,professional,2734,38,4,3,14,NULL,NULL,NULL,NULL,73,NULL,1,113,756.9452055,0,0
691859,F,F,nhl,professional,335,50,10,15,21,2,0,0,2,42,57,6,278,983.411215,139.4953271,19.45794393
55106,LW,F,nhl,professional,20,35,1,3,37,NULL,NULL,NULL,NULL,107,32,1,83,700.9868421,42.98684211,55.90789474
481911,C,F,nhl,professional,2813,80,7,13,30,NULL,NULL,NULL,NULL,119,NULL,1,203,1005.29078,0,0
118979,RW,F,nhl,professional,1558,50,8,5,25,NULL,NULL,NULL,NULL,155,14,0,123,587.6956522,7.847826087,0.086956522
739329,RW,F,nhl,professional,803,5,0,0,0,NULL,NULL,NULL,NULL,2,NULL,0,2,457.8,0,0
141166,RW,F,nhl,professional,839,73,7,26,18,16,4,6,2,98,68,5,287,917.4768212,122.8874172,7.158940397
842491,RD,D,nhl,professional,750,78,7,29,28,5,0,2,0,377,NULL,6,211,1214.473282,0,0
202229,LW,F,nhl,professional,762,1,0,0,0,NULL,NULL,NULL,NULL,2,NULL,0,0,559,0,0
83579,C,F,nhl,professional,240,0,0,0,0,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48836,C,F,nhl,professional,1335,70,15,8,18,NULL,NULL,NULL,NULL,216,105,10,132,1061.934211,39.90131579,66.48026316
665297,LW,F,nhl,professional,2867,44,2,9,10,NULL,NULL,NULL,NULL,61,NULL,4,115,670.0319149,0,0
584051,C,F,nhl,professional,510,7,0,1,2,NULL,NULL,NULL,NULL,12,6,1,17,775.2,61.13333333,1.066666667
730758,C,F,nhl,professional,1065,45,3,3,12,NULL,NULL,NULL,NULL,203,NULL,0,57,675.4705882,0,0
102347,C,F,nhl,professional,1031,83,19,22,10,NULL,NULL,NULL,NULL,35,NULL,6,141,812.2567568,0,0
182112,C,F,nhl,professional,1240,79,38,32,18,6,1,1,0,153,100,25,423,1207.026846,203.3758389,79.53691275
376015,C,F,nhl,professional,1665,68,7,15,14,NULL,NULL,NULL,NULL,33,NULL,3,113,803.8023256,0,0
49134,LD,D,nhl,professional,84,62,4,9,20,9,0,0,0,131,135,0,160,1055.864,4.64,119.792
765496,LD,D,nhl,professional,1879,43,1,5,35,15,2,1,32,195,NULL,0,86,1093.637363,0,0
620953,LD,D,nhl,professional,424,10,0,0,17,NULL,NULL,NULL,NULL,35,11,0,7,777.2380952,1.714285714,54.66666667
801512,D,D,nhl,professional,2499,66,2,13,20,5,0,0,0,108,NULL,1,143,1124.72043,0,0
770283,LW,F,nhl,professional,3979,19,0,2,8,2,0,0,10,121,16,0,47,690.0517241,14.87931034,0.862068966
