"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI_All","TOI_EV","TOI_PP","TOI_SH","EVO_GAR/60","EVD_GAR/60","PPO_GAR/60","SHD_GAR/60","Take_GAR/60","Draw_GAR/60","Off_GAR/60","Def_GAR/60","Pens_GAR/60","GAR/60","WAR/60","SPAR/60"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,68.3,63.8,2.9,1.3,-0.491,0.578,-0.792,0.062,0.135,-0.125,-0.504,0.568,0.011,0.06,0.011,0.022
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,125.7,122.3,2.8,0,-0.022,-0.301,-0.12,0,-0.122,0.047,-0.024,-0.301,-0.075,-0.392,-0.076,-0.146
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,94,93.8,0,0,-0.539,-0.116,0,0,-0.317,-0.124,-0.539,-0.116,-0.442,-1.095,-0.204,-0.384
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.6,8.6,0,0,-0.079,-0.741,0,0,-1.372,-0.12,-0.079,-0.741,-1.492,-2.313,-0.415,-0.773
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,9,70.7,70.4,0.1,0.1,0.388,0.578,-0.319,0.001,-0.015,0.847,0.387,0.577,0.832,1.794,0.315,0.599
"A.J. Greer","A.J..GREER","8478421","22-23","BOS","L","L",1996-12-14,25,2015,2,39,61,555.6,543.4,4.2,3.6,0.073,0.218,1.328,0.748,-0.063,-0.025,0.082,0.221,-0.087,0.211,0.036,0.068
"A.J. Greer","A.J..GREER","8478421","23-24","CGY","L","L",1996-12-14,26,2015,2,39,59,521.1,494.9,5.8,15.7,-0.154,0.035,0.528,0.306,-0.034,0.021,-0.146,0.043,-0.013,-0.111,-0.018,-0.035
"A.J. Greer","A.J..GREER","8478421","24-25","FLA","L","L",1996-12-14,27,2015,2,39,81,777,728.3,6.8,39.7,0.016,0.009,2.036,-0.954,-0.194,0.07,0.034,-0.04,-0.124,-0.131,-0.022,-0.041
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.8,20.8,0,0,1.176,0.288,0,0,0.181,-0.184,1.176,0.288,-0.003,1.461,0.264,0.509
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1766.6,1485.7,221.4,31.5,0.222,0.23,0.326,-0.547,0.033,0.023,0.236,0.214,0.056,0.467,0.089,0.17
