"Name","Team","Season","GP","TOI","FF/60","FA/60","xGF/FF","xGA/FA","RF/60","RA/60","QF/60","QA/60","R±/60","Q±/60","Sh±/60","Sv±/60","G±/60"
"Bruins","BOS","22-23",82,3964.32,2.48,-2.66,0.0016,-0.0011,0.16,-0.17,0.07,-0.04,0.32,0.11,0.39,0.65,1.48
"Blackhawks","CHI","12-13",48,2414.43,2.64,-6.96,0,0.0042,0.15,-0.39,0,0.14,0.54,-0.14,0.45,0.26,1.12
"Avalanche","COL","20-21",56,2701.57,7.73,-7.66,-0.0038,-0.0065,0.47,-0.47,-0.18,-0.21,0.94,0.03,0.35,-0.22,1.1
"Capitals","WSH","09-10",82,3963.48,3.9,-0.31,0.0004,0.0009,0.22,-0.02,0.02,0.04,0.24,-0.02,0.65,0.19,1.07
"Bruins","BOS","13-14",82,4111.57,3.7,-3.52,-0.0035,-0.0039,0.21,-0.2,-0.16,-0.14,0.4,-0.01,0.35,0.3,1.03
"Golden Knights","VGK","20-21",56,2796.42,4.62,-3.2,0.0032,0.0041,0.28,-0.2,0.14,0.15,0.48,-0.01,0.24,0.29,1.01
"Capitals","WSH","16-17",82,4035.78,1.31,-2.71,-0.0001,0.0026,0.07,-0.15,0,0.1,0.23,-0.1,0.38,0.5,1
"Penguins","PIT","12-13",48,2333.57,1.43,-0.07,-0.0013,-0.0043,0.08,0,-0.05,-0.17,0.09,0.12,0.59,0.19,0.98
"Panthers","FLA","21-22",82,4057.83,8.08,-4.05,0.0038,0.0043,0.5,-0.25,0.19,0.16,0.76,0.03,0.13,0.06,0.97
"Ducks","ANA","13-14",82,3989.05,1.67,0.01,0.0041,0.001,0.09,0,0.17,0.04,0.09,0.13,0.45,0.23,0.91
"Wild","MIN","21-22",82,3999.03,1.19,-1.71,-0.0064,-0.01,0.07,-0.11,-0.27,-0.4,0.18,0.13,0.8,-0.23,0.89
"Flames","CGY","21-22",82,4085.03,7.41,-3.53,-0.0056,-0.0029,0.46,-0.22,-0.28,-0.11,0.68,-0.17,0.2,0.16,0.87
"Jets","WPG","23-24",82,4071.27,1.95,-1.62,0.0013,0.0009,0.12,-0.1,0.06,0.03,0.22,0.02,-0.04,0.67,0.87
"Bruins","BOS","08-09",81,3889.17,0.44,-1.68,-0.0011,-0.0008,0.03,-0.1,-0.04,-0.03,0.12,-0.01,0.31,0.4,0.82
"Maple Leafs","TOR","20-21",56,2809.87,1.9,-2.67,0.0024,-0.0044,0.12,-0.16,0.1,-0.16,0.28,0.26,0.31,-0.03,0.82
"Jets","WPG","24-25",82,4195.08,1.4,-1.09,0.0027,-0.0009,0.08,-0.07,0.11,-0.04,0.15,0.15,-0.08,0.6,0.82
"Red Wings","DET","11-12",82,4018.03,3.37,-4.59,-0.0013,0.0001,0.19,-0.26,-0.06,0,0.45,-0.06,0.31,0.11,0.81
"Avalanche","COL","19-20",70,3413.43,2.43,-1.85,-0.0052,-0.005,0.15,-0.11,-0.23,-0.2,0.26,-0.03,0.53,0.05,0.81
"Hurricanes","CAR","21-22",82,4018.9,7.18,-3.98,0.001,0.004,0.45,-0.25,0.05,0.15,0.7,-0.1,-0.11,0.32,0.8
"Lightning","T.B","17-18",82,4019.83,2.8,-1.24,-0.0011,-0.0043,0.16,-0.07,-0.05,-0.18,0.23,0.13,0.53,-0.12,0.77
"Lightning","T.B","18-19",82,4040.47,2.58,-1.34,-0.0014,-0.0034,0.15,-0.08,-0.06,-0.14,0.23,0.07,0.63,-0.17,0.77
"Canucks","VAN","23-24",82,4012.7,-0.56,-4.31,0.0033,0.0029,-0.03,-0.26,0.14,0.11,0.23,0.03,0.25,0.26,0.77
