"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G±/60","xG±/60","C±/60","GF/60","GA/60","xGF/60","xGA/60","CF/60","CA/60"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,63.8,-0.021,0.117,1.7,-0.021,0,0.056,-0.061,0.77,-0.92
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,122.27,0.035,-0.107,-3.43,-0.018,-0.052,-0.062,0.045,-2.45,0.98
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,93.8,-0.038,-0.001,0.36,-0.032,0.006,0.001,0.002,-0.7,-1.06
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.55,0,-0.08,-1.87,-0.01,-0.01,-0.008,0.072,-0.53,1.34
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,9,70.45,0.003,0.052,1.66,-0.004,-0.008,0.007,-0.045,0.51,-1.14
"A.J. Greer","A.J..GREER","8478421","22-23","BOS","L","L",1996-12-14,25,2015,2,39,61,543.37,0.054,0.295,1.11,-0.056,-0.11,0.116,-0.179,-2.01,-3.12
"A.J. Greer","A.J..GREER","8478421","23-24","CGY","L","L",1996-12-14,26,2015,2,39,59,494.87,-0.129,-0.023,-1.21,-0.135,-0.006,-0.063,-0.04,-0.26,0.95
"A.J. Greer","A.J..GREER","8478421","24-25","FLA","L","L",1996-12-14,27,2015,2,39,81,728.33,0.019,0.106,0.38,-0.098,-0.117,0.07,-0.036,0.04,-0.34
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.83,0,0.022,-0.85,0.026,0.026,0.005,-0.017,-0.54,0.31
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1485.73,0.178,0.126,1.3,0.085,-0.094,0.057,-0.069,0.73,-0.57
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1378.1,0.111,-0.022,1.4,0.063,-0.049,-0.094,-0.072,-1.79,-3.2
