"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,63.8,0,0,0.94,0.94,5.64,6.58,7.52,0.67,0,0,10.14,2.82,1.88,0.94,3.76,5.64,0.94,0.94,0,0,0,0,0,0
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,122.27,0,0.98,0.49,1.47,6.38,7.36,9.81,0.32,0,0,4.4,2.45,0.98,1.47,14.23,7.85,3.44,2.45,0.49,0.49,-0.98,0.49,0.98,-0.49
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,93.8,0.64,0.64,0,1.28,5.76,7.04,8.96,0.81,11.11,9.09,11.45,3.2,0.64,2.56,12.79,12.79,4.48,1.28,0,0,-3.2,1.28,1.92,-0.64
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02,7.02,0,7.02,7.02,-7.02,0,0,0
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,9,70.45,0.85,0,0.85,1.7,11.92,13.63,17.03,1,7.14,6.25,7.38,2.56,3.41,0,17.03,9.37,0.85,5.11,0,0,4.26,1.7,0.85,0.85
"A.J. Greer","A.J..GREER","8478421","22-23","BOS","L","L",1996-12-14,25,2015,2,39,61,543.37,0.44,0.44,0.33,1.21,7.18,9.28,11.7,0.84,6.15,4.76,9.02,2.76,1.55,1.77,11.15,8.17,1.33,0.88,0.88,0.77,-0.55,0.22,0.11,0.11
"A.J. Greer","A.J..GREER","8478421","23-24","CGY","L","L",1996-12-14,26,2015,2,39,59,494.87,0.48,0.36,0.36,1.21,6.67,9.34,13.22,0.7,7.27,5.19,7.45,2.79,1.94,2.06,12,5.33,1.21,0.85,0.36,0.36,-0.36,0.48,0.36,0.12
"A.J. Greer","A.J..GREER","8478421","24-25","FLA","L","L",1996-12-14,27,2015,2,39,81,728.33,0.33,0.82,0.08,1.24,6.76,9.8,12.93,0.88,4.88,3.36,9,2.31,3.54,0.66,17.71,6.67,2.47,1.73,0.49,0.49,-0.74,1.15,2.14,-0.99
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.83,2.88,0,2.88,5.76,5.76,5.76,5.76,0.35,50,50,6,2.88,5.76,0,31.69,11.52,2.88,2.88,2.88,2.88,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1485.73,0.24,0.32,0.32,0.89,5.09,6.95,10.34,0.18,4.76,3.49,2.65,2.91,1.53,0.85,4.04,5.13,0.44,0.4,0,0,-0.04,0,0,0
