"Name","Team","Season","GP","TOI","W/GP","L/GP","OL/GP","ROW/GP","Points/GP","Points%","GF/GP","GA/GP","G±/GP","Sh%","Sv%"
"Bruins","BOS","22-23",82,4982.8,0.79,0.15,0.06,0.74,1.65,82.3,3.72,2.16,1.56,11.1,92.9
"Blackhawks","CHI","12-13",48,2945.4,0.75,0.15,0.1,0.62,1.6,80.2,3.23,2.12,1.1,10,92.3
"Lightning","T.B","18-19",82,4979.6,0.76,0.2,0.05,0.68,1.56,78,3.96,2.71,1.26,12.2,91.6
"Penguins","PIT","12-13",48,2898.4,0.75,0.25,0,0.69,1.5,75,3.44,2.48,0.96,11.3,91.5
"Panthers","FLA","21-22",82,4984.2,0.71,0.22,0.07,0.67,1.49,74.4,4.15,3,1.15,11,90.4
"Capitals","WSH","09-10",82,5008.6,0.66,0.18,0.16,NA,1.48,73.8,3.88,2.84,1.04,11.6,91
"Capitals","WSH","15-16",82,4982.7,0.68,0.22,0.1,0.63,1.46,73.2,3.07,2.35,0.72,9.9,91.8
"Avalanche","COL","20-21",56,3378.7,0.7,0.23,0.07,0.7,1.46,73.2,3.52,2.38,1.14,10.2,90.7
"Golden Knights","VGK","20-21",56,3396.1,0.71,0.25,0.04,0.7,1.46,73.2,3.41,2.21,1.2,10.4,92
"Avalanche","COL","21-22",82,4967.6,0.68,0.23,0.09,0.63,1.45,72.6,3.8,2.85,0.95,10.7,91.2
"Capitals","WSH","16-17",82,4973.1,0.67,0.23,0.1,0.65,1.44,72,3.21,2.22,0.99,10.5,92.2
"Bruins","BOS","19-20",70,4260.7,0.63,0.2,0.17,0.63,1.43,71.4,3.24,2.49,0.76,10.1,92.1
"Hurricanes","CAR","20-21",56,3417.8,0.64,0.21,0.14,0.57,1.43,71.4,3.2,2.43,0.77,9.8,91.5
"Sharks","S.J","08-09",82,4999.9,0.65,0.22,0.13,NA,1.43,71.3,3.13,2.49,0.65,9.2,91
"Canucks","VAN","10-11",82,4984.9,0.66,0.23,0.11,0.61,1.43,71.3,3.2,2.26,0.94,9.8,92.7
"Bruins","BOS","13-14",82,4978.8,0.66,0.23,0.11,0.62,1.43,71.3,3.18,2.16,1.02,9.9,92.8
"Predators","NSH","17-18",82,5006.7,0.65,0.22,0.13,0.57,1.43,71.3,3.26,2.57,0.68,9.9,92.3
"Jets","WPG","24-25",82,4959.9,0.68,0.27,0.05,0.66,1.41,70.7,3.38,2.33,1.05,11.9,91.5
"Bruins","BOS","08-09",82,4926.9,0.65,0.23,0.12,NA,1.41,70.7,3.34,2.39,0.95,10.9,92.5
"Ducks","ANA","13-14",82,4991,0.66,0.24,0.1,0.62,1.41,70.7,3.24,2.55,0.7,10.3,91.4
"Hurricanes","CAR","21-22",82,4969.4,0.66,0.24,0.1,0.65,1.41,70.7,3.39,2.46,0.93,9.9,91.3
"Panthers","FLA","20-21",56,3409.5,0.66,0.25,0.09,0.64,1.41,70.5,3.38,2.73,0.64,9.6,91
"Maple Leafs","TOR","21-22",82,4968.5,0.66,0.26,0.09,0.62,1.4,70.1,3.84,3.09,0.76,11,90
"Rangers","NYR","23-24",82,4974.6,0.67,0.28,0.05,0.62,1.39,69.5,3.44,2.79,0.65,10.8,90.7
"Jets","WPG","17-18",82,4982.2,0.63,0.24,0.12,0.59,1.39,69.5,3.38,2.66,0.72,10.3,91.7
"Stars","DAL","23-24",82,4982.1,0.63,0.26,0.11,0.59,1.38,68.9,3.63,2.85,0.78,11.4,90.1
"Sharks","S.J","09-10",82,4938.4,0.62,0.24,0.13,NA,1.38,68.9,3.22,2.62,0.6,10,91.9
"Rangers","NYR","14-15",82,4983.1,0.65,0.27,0.09,0.6,1.38,68.9,3.07,2.34,0.73,9.6,92.3
"Lightning","T.B","17-18",82,4979.6,0.66,0.28,0.06,0.59,1.38,68.9,3.61,2.88,0.73,10.8,91.3
"Wild","MIN","21-22",82,4996.6,0.65,0.27,0.09,0.59,1.38,68.9,3.78,3.09,0.7,11.4,90.3
"Hurricanes","CAR","22-23",82,4990.5,0.63,0.26,0.11,0.59,1.38,68.9,3.24,2.6,0.65,9.2,90.1
"Ducks","ANA","12-13",48,2936.3,0.62,0.25,0.12,0.5,1.38,68.8,2.92,2.46,0.46,9.9,91.4
"Penguins","PIT","20-21",56,3399.8,0.66,0.29,0.05,0.61,1.38,68.8,3.5,2.79,0.71,11.5,90.8
"Maple Leafs","TOR","20-21",56,3386.2,0.62,0.25,0.12,0.61,1.38,68.8,3.34,2.64,0.7,10.6,90.5
"Capitals","WSH","20-21",56,3400.7,0.64,0.27,0.09,0.59,1.38,68.8,3.41,2.91,0.5,11.4,90
"Red Wings","DET","08-09",82,4927.7,0.62,0.26,0.12,NA,1.37,68.3,3.6,2.98,0.62,9.7,89.4
"Blackhawks","CHI","09-10",82,5012.6,0.63,0.27,0.1,NA,1.37,68.3,3.3,2.55,0.76,9.4,90.1
"Avalanche","COL","13-14",82,5003,0.63,0.27,0.1,0.57,1.37,68.3,3.05,2.68,0.37,10.1,91.9
"Bruins","BOS","17-18",82,4982.4,0.61,0.24,0.15,0.57,1.37,68.3,3.29,2.61,0.68,9.9,91.2
"Devils","N.J","22-23",82,4987.8,0.63,0.27,0.1,0.61,1.37,68.3,3.55,2.76,0.79,10.2,90.4
"Canucks","VAN","11-12",82,5021.9,0.62,0.27,0.11,0.52,1.35,67.7,3.04,2.41,0.62,9.3,92.4
"Blues","STL","13-14",82,5002,0.63,0.28,0.09,0.52,1.35,67.7,3.02,2.33,0.7,9.9,91.3
"Sharks","S.J","13-14",82,5021,0.62,0.27,0.11,0.5,1.35,67.7,3.04,2.44,0.6,8.4,91.5
"Penguins","PIT","16-17",82,4989.8,0.61,0.26,0.13,0.56,1.35,67.7,3.44,2.85,0.59,10.1,91.4
"Flames","CGY","21-22",82,4966.2,0.61,0.26,0.13,0.59,1.35,67.7,3.57,2.54,1.04,10,91.3
"Maple Leafs","TOR","22-23",82,4964.9,0.61,0.26,0.13,0.6,1.35,67.7,3.4,2.71,0.7,10.6,90.9
"Golden Knights","VGK","22-23",82,4997.5,0.62,0.27,0.11,0.56,1.35,67.7,3.32,2.79,0.52,10.3,91.1
"Hurricanes","CAR","23-24",82,4972.7,0.63,0.28,0.09,0.61,1.35,67.7,3.4,2.63,0.77,10.1,90
"Capitals","WSH","24-25",82,4975.6,0.62,0.27,0.11,0.6,1.35,67.7,3.51,2.83,0.68,12.6,89.7
"Canadiens","MTL","14-15",82,5007.1,0.61,0.27,0.12,0.52,1.34,67.1,2.7,2.3,0.39,9.2,92.6
"Rangers","NYR","21-22",82,4970.8,0.63,0.29,0.07,0.59,1.34,67.1,3.1,2.52,0.57,10.5,91.9
"Lightning","T.B","21-22",82,4988.1,0.62,0.28,0.1,0.6,1.34,67.1,3.5,2.84,0.66,11.2,90.7
"Jets","WPG","23-24",82,4951.1,0.63,0.29,0.07,0.63,1.34,67.1,3.16,2.43,0.73,10.4,91.8
"Panthers","FLA","23-24",82,4970.5,0.63,0.29,0.07,0.6,1.34,67.1,3.27,2.44,0.83,9.6,91.3
"Golden Knights","VGK","24-25",82,4967.8,0.61,0.27,0.12,0.6,1.34,67.1,3.35,2.67,0.68,11.1,90
"Lightning","T.B","20-21",56,3389.3,0.64,0.3,0.05,0.62,1.34,67,3.23,2.62,0.61,10.6,90.8
"Wild","MIN","20-21",56,3401.8,0.62,0.29,0.09,0.61,1.34,67,3.23,2.86,0.38,11.3,90.7
"Rangers","NYR","11-12",82,4998,0.62,0.29,0.09,0.57,1.33,66.5,2.76,2.28,0.48,9.5,92
"Blues","STL","11-12",82,5002.1,0.6,0.27,0.13,0.55,1.33,66.5,2.56,2.01,0.55,8.2,92.9
"Penguins","PIT","13-14",82,4986.9,0.62,0.29,0.09,0.54,1.33,66.5,3.04,2.52,0.51,9.9,91.4
"Ducks","ANA","14-15",82,5002.7,0.62,0.29,0.09,0.52,1.33,66.5,2.88,2.76,0.12,9.3,90.7
"Blues","STL","14-15",82,5003.4,0.62,0.29,0.09,0.51,1.33,66.5,3.02,2.45,0.57,9.4,91.2
"Stars","DAL","15-16",82,4968.4,0.61,0.28,0.11,0.59,1.33,66.5,3.26,2.8,0.45,10.1,90.4
"Blackhawks","CHI","16-17",82,4980,0.61,0.28,0.11,0.56,1.33,66.5,2.98,2.6,0.38,9.6,91.8
"Golden Knights","VGK","17-18",82,4985.7,0.62,0.29,0.09,0.57,1.33,66.5,3.32,2.78,0.54,10,91.1
"Blues","STL","21-22",82,4964.2,0.6,0.27,0.13,0.57,1.33,66.5,3.79,2.95,0.84,12.4,90.8
"Oilers","EDM","22-23",82,4963.6,0.61,0.28,0.11,0.61,1.33,66.5,3.96,3.17,0.79,11.8,90.1
"Avalanche","COL","22-23",82,4996.8,0.62,0.29,0.09,0.55,1.33,66.5,3.41,2.76,0.66,10,91.2
"Canucks","VAN","23-24",82,4964.8,0.61,0.28,0.11,0.61,1.33,66.5,3.4,2.72,0.68,12,90.6
"Bruins","BOS","23-24",82,5002.7,0.57,0.24,0.18,0.52,1.33,66.5,3.26,2.73,0.52,11,91.2
"Blues","STL","19-20",71,4320.9,0.59,0.27,0.14,0.56,1.32,66.2,3.17,2.72,0.45,10.2,91
"Capitals","WSH","08-09",82,4985.6,0.61,0.29,0.1,NA,1.32,65.9,3.32,2.99,0.33,9.8,90.1
"Penguins","PIT","11-12",82,4995.6,0.62,0.3,0.07,0.51,1.32,65.9,3.44,2.7,0.74,9.8,90.3
"Lightning","T.B","14-15",82,4977,0.61,0.29,0.1,0.57,1.32,65.9,3.2,2.57,0.62,10.7,91
"Blue Jackets","CBJ","16-17",82,4969.7,0.61,0.29,0.1,0.59,1.32,65.9,3.04,2.38,0.66,9.7,92.2
"Stars","DAL","22-23",82,4993.1,0.57,0.26,0.17,0.52,1.32,65.9,3.48,2.66,0.82,10.7,91.2
"Maple Leafs","TOR","24-25",82,4960.6,0.63,0.32,0.05,0.62,1.32,65.9,3.27,2.82,0.45,11.6,90.5
"Avalanche","COL","19-20",70,4239.6,0.6,0.29,0.11,0.59,1.31,65.7,3.39,2.73,0.66,10.5,91.3
"Lightning","T.B","19-20",70,4243.1,0.61,0.3,0.09,0.59,1.31,65.7,3.5,2.79,0.71,11.2,91
"Canadiens","MTL","12-13",48,2918.7,0.6,0.29,0.1,0.54,1.31,65.6,3.1,2.62,0.48,9.9,90.4
"Avalanche","COL","23-24",82,4969.4,0.61,0.3,0.09,0.59,1.3,65.2,3.71,3.1,0.61,11.1,89.7
